id,pilot,planet,passenger,trip_completed,trip_requested,trip_started,trip_ended,price,pilot_rating,passenger_rating
0,71,3,213,1,1514184145.0,1514184606.0,1514187638.0,1109.0,5.0,3.0
1,51,4,647,1,1507931265.0,1507931526.0,1507934203.0,1003.0,5.0,5.0
2,13,5,435,1,1514180719.0,1514181090.0,1514182307.0,565.0,5.0,2.0
3,4,3,475,1,1491866475.0,1491866728.0,1491869675.0,1084.0,5.0,5.0
4,70,4,331,1,1514749285.0,1514749515.0,1514751716.0,1058.0,5.0,5.0
5,25,3,477,1,1511974455.0,1511974645.0,1511976105.0,769.0,1.0,5.0
6,4,3,357,1,1506829517.0,1506829589.0,1506829980.0,317.0,1.0,3.0
7,43,1,306,1,1508429118.0,1508429403.0,1508430271.0,538.0,5.0,5.0
8,29,3,425,1,1500988878.0,1500989291.0,1500990061.0,500.0,5.0,5.0
9,65,5,92,1,1514244656.0,1514245137.0,1514248289.0,1145.0,2.0,5.0
10,51,4,75,1,1502293580.0,1502293965.0,1502297410.0,1543.0,1.0,2.0
11,96,3,526,1,1506162760.0,1506163017.0,1506163976.0,574.0,5.0,5.0
12,72,3,542,1,1511611544.0,1511612195.0,1511613778.0,817.0,5.0,1.0
13,29,3,640,1,1514538969.0,1514539138.0,1514539996.0,663.0,5.0,1.0
14,93,3,544,1,1512514950.0,1512515475.0,1512516458.0,494.0,5.0,5.0
15,85,3,161,1,1495676446.0,1495676796.0,1495678448.0,695.0,5.0,5.0
16,5,3,569,1,1514215655.0,1514215869.0,1514216865.0,588.0,5.0,3.0
17,35,2,807,1,1511445658.0,1511446221.0,1511449014.0,1289.0,5.0,5.0
18,47,6,415,1,1512882156.0,1512882920.0,1512886309.0,1216.0,3.0,5.0
19,56,3,174,0,1514150683.0,1514151121.0,1514152761.0,691.0,2.0,5.0
20,74,4,250,0,1511071372.0,1511071631.0,1511072227.0,378.0,5.0,5.0
21,65,5,467,1,1507570777.0,1507571288.0,1507573207.0,1236.0,5.0,1.0
22,22,5,602,1,1507717780.0,1507718631.0,1507721372.0,1268.0,1.0,3.0
23,55,5,63,1,1509132958.0,1509133375.0,1509134683.0,710.0,4.0,2.0
24,22,5,461,1,1506088845.0,1506089008.0,1506091966.0,1353.0,5.0,5.0
25,29,3,347,1,1513725039.0,1513725892.0,1513729016.0,1137.0,4.0,5.0
26,35,2,285,1,1511793971.0,1511794306.0,1511796340.0,993.0,5.0,4.0
27,74,4,337,1,1509839703.0,1509839874.0,1509841228.0,606.0,5.0,5.0
28,12,6,738,1,1511624634.0,1511624705.0,1511626047.0,723.0,5.0,2.0
29,5,3,277,0,1514454795.0,1514455124.0,1514457336.0,1394.0,4.0,4.0
30,8,3,471,1,1510990744.0,1510990842.0,1510991352.0,352.0,1.0,3.0
31,25,3,425,1,1504859575.0,1504859801.0,1504860808.0,592.0,2.0,5.0
32,38,2,967,1,1513348607.0,1513349068.0,1513351002.0,954.0,1.0,5.0
33,56,3,284,1,1512876141.0,1512876984.0,1512879283.0,889.0,5.0,5.0
34,96,3,180,1,1501614182.0,1501615048.0,1501618299.0,1467.0,3.0,1.0
35,58,3,478,1,1512517130.0,1512517306.0,1512518492.0,555.0,5.0,5.0
36,93,3,240,1,1511287315.0,1511287982.0,1511288864.0,543.0,5.0,2.0
37,4,3,820,1,1506029706.0,1506030156.0,1506030644.0,346.0,3.0,5.0
38,72,3,170,1,1511776326.0,1511776849.0,1511779609.0,1690.0,2.0,5.0
39,69,3,894,1,1507686701.0,1507687195.0,1507687727.0,359.0,5.0,5.0
40,2,5,443,1,1507124834.0,1507125087.0,1507125800.0,478.0,2.0,5.0
41,54,6,97,1,1503677335.0,1503677540.0,1503679082.0,801.0,5.0,5.0
42,22,5,233,1,1514125918.0,1514126346.0,1514128262.0,947.0,4.0,5.0
43,51,4,920,1,1503055911.0,1503056525.0,1503058436.0,945.0,5.0,5.0
44,38,2,866,1,1514555858.0,1514556603.0,1514558324.0,871.0,5.0,5.0
45,14,2,531,1,1512805092.0,1512805755.0,1512807906.0,845.0,4.0,5.0
46,60,1,687,1,1509847241.0,1509847809.0,1509850028.0,865.0,5.0,5.0
47,14,2,722,1,1504404499.0,1504404746.0,1504406839.0,827.0,5.0,5.0
48,14,2,603,1,1504517543.0,1504518440.0,1504520688.0,1413.0,5.0,5.0
49,93,3,507,1,1514372848.0,1514373576.0,1514376493.0,1337.0,5.0,5.0
50,5,3,767,1,1511004438.0,1511005007.0,1511006689.0,855.0,5.0,5.0
52,57,3,832,1,1510773845.0,1510774153.0,1510777623.0,1553.0,5.0,3.0
